"Статус","Количество"
"Active","35"
"Final","307"
"Deferred","36"
"Rejected","123"
"Superseded","23"
"Withdrawn","61"
"April Fool!","1"
"Draft","28"
"Accepted","28"
"Provisional","1"
"Всего","643"
